N_Illesi,N_Feriti,N_Morti,UnixDate,LAT,LNG
2,1,0,1447316400.0,45.687246,9.665180
3,0,0,1447233000.0,45.683504,9.659540
1,1,0,1447225800.0,45.695836,9.655081
3,0,0,1447248600.0,45.675776,9.661237
1,1,0,1447252800.0,45.675604,9.650172
2,1,0,1447268100.0,45.666954,9.659347
2,1,0,1447275000.0,45.675868,9.668254
5,1,0,1447151400.0,45.706808,9.693494
1,1,0,1447143900.0,45.687035,9.662892
3,1,0,1447151400.0,45.693761,9.630722
1,1,0,1447163100.0,45.694242,9.659368
1,1,0,1447176900.0,45.693522,9.692590
3,0,0,1447179900.0,45.685062,9.683223
2,1,0,1447055700.0,45.695634,9.662716
0,2,0,1447068600.0,45.709137,9.694499
5,0,0,1447083600.0,45.702676,9.671854
2,0,0,1447086000.0,45.675586,9.673493
1,0,0,1447084800.0,45.692888,9.663471
4,1,0,1447084800.0,45.683764,9.664327
2,2,0,1447006800.0,45.677978,9.670097
1,1,0,1446936300.0,45.684629,9.673001
0,2,0,1446921000.0,45.677957,9.669110
3,3,0,1446936300.0,45.700573,9.679314
3,1,0,1446897600.0,45.678271,9.672619
3,0,0,1446908700.0,45.704763,9.683277
3,0,0,1446815700.0,45.690821,9.684771
2,0,0,1446822000.0,45.675673,9.668785
1,3,0,1446840600.0,45.687315,9.665378
2,0,0,1446795000.0,45.696762,9.670699
1,0,0,1446800400.0,45.705172,9.664557
3,0,0,1446809400.0,45.688953,9.645582
0,2,0,1446712500.0,45.693789,9.691593
1,1,0,1446740100.0,45.675139,9.645357
2,0,0,1446748200.0,45.687755,9.672004
3,0,0,1446733200.0,45.692396,9.672826
3,1,0,1446715500.0,45.677608,9.670712
1,0,0,1446752700.0,45.710248,9.626240
2,0,0,1446635400.0,45.689174,9.663219
1,0,0,1446574500.0,45.699694,9.649900
2,0,0,1446539400.0,45.688836,9.654692
1,1,0,1446544560.0,45.702063,9.681204
1,1,0,1446572400.0,45.708793,9.673735
4,0,0,1446577200.0,45.689084,9.650791
